num__Chambres,num__Superficie_m2,num__DistanceRoute_m,num__AgeMaison,binary__Salon,binary__SalleDeBainInterieure,binary__Parking,binary__Meuble,binary__Jardin,nom__Quartier_Buyenzi,nom__Quartier_Bwiza,nom__Quartier_Cibitoke,nom__Quartier_Gasekebuye,nom__Quartier_Gihosha,nom__Quartier_Jabe,nom__Quartier_Kamenge,nom__Quartier_Kinama,nom__Quartier_Kinanira,nom__Quartier_Kiriri,nom__Quartier_Musaga,nom__Quartier_Ngagara,nom__Quartier_Nyakabiga,nom__Quartier_Rohero,LoyerMensuel_BIF,SurfaceParChambre,ChambresParSuperficie,DistanceLog,AgeMaisonLog,Age_Surface,Confort_Score,Confort_Surface,Confort_Chambres
3.0,119.0,26.0,27.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,951831,39.666666666666664,0.025210084033613446,3.295836866004329,3.332204510175204,3213.0,0,0.0,0.0
1.0,41.0,187.0,34.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533641,41.0,0.024390243902439025,5.236441962829949,3.5553480614894135,1394.0,0,0.0,0.0
5.0,232.0,97.0,27.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2600000,46.4,0.021551724137931036,4.584967478670572,3.332204510175204,6264.0,0,0.0,0.0
6.0,284.0,119.0,29.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1421577,47.333333333333336,0.02112676056338028,4.787491742782046,3.4011973816621555,8236.0,0,0.0,0.0
2.0,118.0,90.0,34.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1139022,59.0,0.01694915254237288,4.51085950651685,3.5553480614894135,4012.0,0,0.0,0.0
4.0,191.0,12.0,19.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1055370,47.75,0.020942408376963352,2.5649493574615367,2.995732273553991,3629.0,0,0.0,0.0
5.0,221.0,243.0,17.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1597434,44.2,0.02262443438914027,5.497168225293202,2.8903717578961645,3757.0,0,0.0,0.0
6.0,287.0,7.0,26.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2600000,47.833333333333336,0.020905923344947737,2.0794415416798357,3.295836866004329,7462.0,0,0.0,0.0
1.0,33.0,238.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,429276,33.0,0.030303030303030304,5.476463551931511,2.0794415416798357,231.0,0,0.0,0.0
5.0,249.0,25.0,37.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604301,49.8,0.020080321285140562,3.258096538021482,3.6375861597263857,9213.0,0,0.0,0.0
4.0,193.0,183.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065267,48.25,0.02072538860103627,5.214935757608986,2.995732273553991,3667.0,0,0.0,0.0
4.0,217.0,153.0,34.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772406,54.25,0.018433179723502304,5.0369526024136295,3.5553480614894135,7378.0,0,0.0,0.0
6.0,293.0,61.0,37.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,987010,48.833333333333336,0.020477815699658702,4.127134385045092,3.6375861597263857,10841.0,0,0.0,0.0
4.0,197.0,44.0,32.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1146731,49.25,0.02030456852791878,3.8066624897703196,3.4965075614664802,6304.0,0,0.0,0.0
5.0,248.0,281.0,35.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200592,49.6,0.020161290322580645,5.641907070938114,3.58351893845611,8680.0,0,0.0,0.0
4.0,164.0,20.0,30.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,889998,41.0,0.024390243902439025,3.044522437723423,3.4339872044851463,4920.0,0,0.0,0.0
4.0,202.0,123.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1622245,50.5,0.019801980198019802,4.820281565605037,1.3862943611198906,606.0,0,0.0,0.0
5.0,217.0,65.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160062,43.4,0.02304147465437788,4.189654742026425,2.772588722239781,3255.0,0,0.0,0.0
2.0,120.0,143.0,24.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1588560,60.0,0.016666666666666666,4.969813299576001,3.2188758248682006,2880.0,0,0.0,0.0
3.0,169.0,31.0,20.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1743777,56.333333333333336,0.01775147928994083,3.4657359027997265,3.044522437723423,3380.0,0,0.0,0.0
4.0,169.0,239.0,14.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1190263,42.25,0.023668639053254437,5.480638923341991,2.70805020110221,2366.0,0,0.0,0.0
2.0,101.0,153.0,23.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,702553,50.5,0.019801980198019802,5.0369526024136295,3.1780538303479458,2323.0,0,0.0,0.0
4.0,180.0,97.0,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1252226,45.0,0.022222222222222223,4.584967478670572,3.258096538021482,4500.0,0,0.0,0.0
2.0,75.0,261.0,39.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,436094,37.5,0.02666666666666667,5.568344503761097,3.6888794541139363,2925.0,0,0.0,0.0
6.0,289.0,294.0,12.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022991,48.166666666666664,0.020761245674740483,5.68697535633982,2.5649493574615367,3468.0,0,0.0,0.0
5.0,259.0,33.0,22.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,889633,51.8,0.019305019305019305,3.5263605246161616,3.1354942159291497,5698.0,0,0.0,0.0
